,Name,Year,Rating,Watchtime,Genre,IMDb Rating,Metascore,Votes
0,Glass Onion: A Knives Out Mystery,2022,PG-13,139,"Comedy, Crime, Drama            ",7.3,81,"1,888,979"
1,Wednesday,2022– ,TV-14,45,"Comedy, Crime, Fantasy            ",8.3,*,"1,888,979"
2,The Witcher: Blood Origin,2022,TV-MA,50,"Action, Adventure, Drama            ",4.4,*,"1,888,979"
3,Treason,2022,TV-MA,42,"Action, Drama, Thriller            ",6.3,*,"1,888,979"
4,Alice in Borderland,2020– ,TV-MA,50,"Action, Drama, Mystery            ",7.6,*,"1,888,979"
5,Roald Dahl's Matilda the Musical,2022,PG,117,"Comedy, Drama, Family            ",7.2,72,"1,888,979"
6,The Recruit,2022– ,TV-MA,55,"Action, Adventure, Crime            ",7.5,*,"1,888,979"
7,Emily in Paris,2020– ,TV-MA,30,"Comedy, Drama, Romance            ",6.9,*,"1,888,979"
8,Bullet Train,2022,R,127,"Action, Comedy, Thriller            ",7.3,49,"1,888,979"
9,Guillermo del Toro's Pinocchio,2022,PG,117,"Animation, Drama, Family            ",7.7,79,"1,888,979"
10,White Noise,I 2022,R,136,"Comedy, Drama, Horror            ",5.8,66,"1,888,979"
11,Top Gun,1986,PG,109,"Action, Drama            ",6.9,50,"1,888,979"
12,The Witcher,2019– ,TV-MA,60,"Action, Adventure, Drama            ",8.1,*,"1,888,979"
13,The Walking Dead,2010–2022,TV-MA,44,"Drama, Horror, Thriller            ",8.1,*,"1,888,979"
14,1899,2022,TV-MA,60,"Drama, Mystery            ",7.4,*,"1,888,979"
15,The Crown,2016– ,TV-MA,58,"Biography, Drama, History            ",8.7,*,"1,888,979"
16,Stranger Things,2016– ,TV-14,51,"Drama, Fantasy, Horror            ",8.7,*,"1,888,979"
17,Breaking Bad,2008–2013,TV-MA,49,"Crime, Drama, Thriller            ",9.5,*,"1,888,979"
18,That '90s Show,2023– ,TV-14,30,"Comedy, Drama, Romance            ",*,*,"1,888,979"
19,Glass Onion: A Knives Out Mystery,2022,PG-13,139,"Comedy, Crime, Drama            ",7.3,81,"1,888,979"
20,Wednesday,2022– ,TV-14,45,"Comedy, Crime, Fantasy            ",8.3,*,"1,888,979"
21,The Witcher: Blood Origin,2022,TV-MA,50,"Action, Adventure, Drama            ",4.4,*,"1,888,979"
22,Treason,2022,TV-MA,42,"Action, Drama, Thriller            ",6.3,*,"1,888,979"
23,Alice in Borderland,2020– ,TV-MA,50,"Action, Drama, Mystery            ",7.6,*,"1,888,979"
24,Roald Dahl's Matilda the Musical,2022,PG,117,"Comedy, Drama, Family            ",7.2,72,"1,888,979"
25,The Recruit,2022– ,TV-MA,55,"Action, Adventure, Crime            ",7.5,*,"1,888,979"
26,Emily in Paris,2020– ,TV-MA,30,"Comedy, Drama, Romance            ",6.9,*,"1,888,979"
27,Bullet Train,2022,R,127,"Action, Comedy, Thriller            ",7.3,49,"1,888,979"
28,Guillermo del Toro's Pinocchio,2022,PG,117,"Animation, Drama, Family            ",7.7,79,"1,888,979"
29,White Noise,I 2022,R,136,"Comedy, Drama, Horror            ",5.8,66,"1,888,979"
30,Top Gun,1986,PG,109,"Action, Drama            ",6.9,50,"1,888,979"
31,The Witcher,2019– ,TV-MA,60,"Action, Adventure, Drama            ",8.1,*,"1,888,979"
32,The Walking Dead,2010–2022,TV-MA,44,"Drama, Horror, Thriller            ",8.1,*,"1,888,979"
33,1899,2022,TV-MA,60,"Drama, Mystery            ",7.4,*,"1,888,979"
34,The Crown,2016– ,TV-MA,58,"Biography, Drama, History            ",8.7,*,"1,888,979"
35,Stranger Things,2016– ,TV-14,51,"Drama, Fantasy, Horror            ",8.7,*,"1,888,979"
36,Breaking Bad,2008–2013,TV-MA,49,"Crime, Drama, Thriller            ",9.5,*,"1,888,979"
37,That '90s Show,2023– ,TV-14,30,"Comedy, Drama, Romance            ",*,*,"1,888,979"
38,Better Call Saul,2015–2022,TV-MA,46,"Crime, Drama            ",8.9,*,"1,888,979"
39,Peaky Blinders,2013–2022,TV-MA,60,"Crime, Drama            ",8.8,*,"1,888,979"
